openEuler Repo,Project Name,Required Version,Repo version,Status
,sgmllib3k,1.0.0,,
python-XStatic-Angular,XStatic-Angular,1.5.8.0,1.5.8.0,OK
python-openstackdocstheme,openstackdocstheme,2.2.7,2.2.6,Need Upgrade
python-etcd3gw,etcd3gw,0.2.5,0.2.6,Need Downgrade
pylint,pylint,2.6.0,2.4.4,Need Upgrade
python-XStatic,XStatic,1.0.2,1.0.2,OK
openstack-ironic-python-agent,ironic-python-agent,7.0.1,ictoria,Need Upgrade
python-proliantutils,proliantutils,2.11.0,2.10.0,Need Upgrade
python-passlib,passlib,1.7.4,1.7.4,OK
elasticsearch,elasticsearch,2.4.1,,Need Init
openstack-keystone,keystone,19.0.0,18.0.0,Need Upgrade
python-stestr,stestr,3.1.0,3.0.1,Need Upgrade
python-voluptuous,voluptuous,0.12.1,0.12.0,Need Upgrade
python-xvfbwrapper,xvfbwrapper,0.2.9,0.2.9,OK
openstack-kolla,kolla,12.0.0,,Need Init
,infinisdk,161.1.3,,
,api-object-schema,2.0.0,,
,sentinels,1.0.0,,
,arrow,1.1.1,,
,capacity,1.3.14,,
,confetti,2.5.3,,
,flux,1.3.5,,
,gossip,2.4.0,,
python-Logbook,Logbook,1.5.3,,Need Init
,vintage,0.4.1,,
,mitba,1.1.1,,
,pact,1.12.0,,
,waiting,1.4.1,,
,storage-interfaces,1.0.4,,
,urlobject,2.4.3,,
python-pysendfile,pysendfile,2.0.1,2.0.1,OK
python-etcd3,etcd3,0.12.0,,Need Init
,grpcio,1.38.1,,
protobuf,protobuf,3.17.3,3.12.3,Need Upgrade
,zvmcloudconnector,1.4.1,,
python-jwt,pyjwt,2.1.0,2.0.0,Need Upgrade
python-osc-placement,osc-placement,2.2.0,2.1.0,Need Upgrade
python-reno,reno,3.3.0,3.2.0,Need Upgrade
,transaction,3.0.1,,
python-zope-interface,zope-interface,5.4.0,5.2.0,Need Upgrade
python-os-traits,os-traits,2.5.0,2.4.0,Need Upgrade
python-redis,redis,3.5.3,3.4.1,Need Upgrade
openstack-placement,placement,5.0.1,4.0.0,Need Upgrade
python-SQLAlchemy-Utils,SQLAlchemy-Utils,0.36.8,0.36.8,OK
python-keyring,keyring,23.0.0,21.5.0,Need Upgrade
python-jeepney,jeepney,0.6.0,0.6.0,OK
python-SecretStorage,SecretStorage,3.3.1,3.3.0,Need Upgrade
,glance-tempest-plugin,0.1.0,,
python-os-client-config,os-client-config,2.1.0,2.1.0,OK
python-bandit,bandit,1.6.0,1.7.0,Need Downgrade
python-os-resource-classes,os-resource-classes,1.0.0,1.0.0,OK
python-sphinxcontrib-blockdiag,sphinxcontrib-blockdiag,2.0.0,2.0.0,OK
python-oauth2client,oauth2client,4.1.3,4.1.3,OK
python-rsa,rsa,4.7.2,3.4.2,Need Upgrade
python-enmerkar,enmerkar,0.7.1,0.7.1,OK
python-zeroconf,zeroconf,0.28.8,0.28.6,Need Upgrade
python-ifaddr,ifaddr,0.1.7,0.1.7,OK
,cassandra-driver,3.24.0,,
python-geomet,geomet,0.2.1.post1,,Need Init
,sphinxcontrib-autoprogram,0.1.7,,
